I,Q,I_dpd,Q_dpd
0.020894198,-0.068800244,0.020993283,-0.058810435
0.073526179,-0.036218004,0.04711311,-0.03434339
0.100883919,0.004726009,0.06683229,0.002981864
0.086881092,0.030166476,0.062490467,0.02352922
0.031949189,0.022444656,0.02754857,0.015464433
-0.046279482,-0.019254226,-0.03546061,-0.022487152
-0.119874814,-0.07705657,-0.088011086,-0.06478808
-0.162002278,-0.122843934,-0.122088335,-0.10067459
-0.157837742,-0.132769948,-0.12250606,-0.10326079
-0.110392175,-0.100134022,-0.09120797,-0.07038778
-0.038952327,-0.03957693,-0.04076749,-0.016957685
0.02897078,0.019902322,0.012319355,0.033087317
0.068633601,0.049667685,0.044716213,0.04976568
0.067395591,0.036321173,0.050958388,0.03384278
0.028723033,-0.010986869,0.027440049,-0.011068124
-0.030418359,-0.064619107,-0.017335678,-0.057455532
-0.087271155,-0.091846223,-0.06313878,-0.081919774
-0.122588922,-0.070845067,-0.09734686,-0.06602902
-0.127627462,-0.001420265,-0.10871036,-0.006612338
-0.106193326,0.094575669,-0.09527424,0.07646635
-0.071428115,0.182921191,-0.06683635,0.15008691
-0.039284473,0.231770377,-0.038222857,0.18774605
-0.021884489,0.224397806,-0.017485429,0.17994282
-0.02364413,0.164450078,-0.0100422725,0.12985945
-0.041431723,0.072287913,-0.017386802,0.055376653
-0.067951983,-0.024701815,-0.03702267,-0.017714389
-0.096057228,-0.102614336,-0.061261673,-0.08142507
-0.121512739,-0.147720501,-0.0838534,-0.1162166
-0.142921483,-0.157504601,-0.10473337,-0.12211794
-0.159363985,-0.13743023,-0.1233528,-0.10431594
-0.167779901,-0.096659028,-0.13565765,-0.07036608
-0.162346586,-0.045566232,-0.135636,-0.028360687
-0.13690905,0.004186661,-0.11761684,0.012753896
-0.089515452,0.038577038,-0.07940849,0.042131662
-0.026456554,0.041737272,-0.02581612,0.04751323
0.037060926,-0.000248868,0.030811049,0.011458121
0.081023486,-0.092889028,0.07049049,-0.06148783
0.088374668,-0.227097633,0.08293176,-0.16926433
0.053002857,-0.377086732,0.05985806,-0.29382727
-0.016192422,-0.504885312,0.0017190967,-0.40387183
-0.097824897,-0.571150338,-0.07473312,-0.46318159
-0.16669124,-0.548791261,-0.14369364,-0.4448079
-0.204901413,-0.434112717,-0.18500757,-0.34731483
