EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
0,100,0.67189125,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.32860644,0.15847474,-3.871112,-4.92020713,-11.81182697,-7.89994884,-9.85588791,0.16733558,-4.067557,-5.24332157,-11.21210032,-7.81723905,-9.51466969
1,100,1.24400291,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498474,0.00356053,1063.63529869,0.11324384,0.08589415,-6.5311084,-7.93509666,-12.39519045,-10.12443762,-11.25981404,0.09383290,-6.587532,-8.02569073,-11.94403465,-10.24864669,-11.09634067
2,100,1.81239614,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.06697414,0.05413866,-8.536297,-10.14849305,-13.85273730,-12.42151471,-13.13712600,0.05979259,-8.549156,-10.14926023,-13.56363912,-12.75939264,-13.16151588
3,100,2.35799710,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498470,0.00356050,1063.63532817,0.04335256,0.03595362,-10.315711,-12.11237317,-15.38535113,-14.53158551,-14.95846832,0.04002883,-10.297103,-12.04164058,-15.20845891,-15.04642851,-15.12744371
4,100,2.91813370,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498473,0.00356052,1063.63530859,0.02922058,0.02459879,-11.965638,-13.91979599,-16.95267703,-16.50010241,-16.72638972,0.02755577,-11.922938,-13.79975027,-16.83272925,-17.11590061,-16.97431493
5,100,3.48362167,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.02034464,0.01733632,-13.486119,-15.52970573,-18.51370307,-18.29337996,-18.40354152,0.01951220,-13.424777,-15.38053476,-18.43087761,-18.97651082,-18.70369422
6,100,4.08686568,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.01456711,0.01252940,-14.896983,-16.94312406,-20.11880927,-19.94357894,-20.03119411,0.01415525,-14.820994,-16.77463664,-20.06531044,-20.66335057,-20.36433051
7,100,4.66083006,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.01066053,0.00922325,-16.227013,-18.22215467,-21.69829855,-21.44971699,-21.57400777,0.01043290,-16.147232,-18.04609244,-21.67806747,-22.19282524,-21.93544635
8,100,5.25564463,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00793110,0.00690557,-17.48327,-19.39009358,-23.26828983,-22.86117409,-23.06473196,0.00780263,-17.409798,-19.22462319,-23.28196608,-23.58744712,-23.43470660
9,100,5.82164777,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498474,0.00356053,1063.63529869,0.00600335,0.00527541,-18.651726,-20.47174173,-24.77004675,-24.13064194,-24.45034435,0.00594577,-18.590254,-20.33018175,-24.81665460,-24.81273683,-24.81469572
