EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
0,100,0.27577864,0.00050000,256,2751,200,dgru,23,0.19970546,0.10371001,-7.7215466,-8.78273320,-12.49468692,-13.70219014,-13.09843853,0.11808088,-7.6033096,-8.58746082,-13.01975018,-13.99213767,-13.50594393
1,100,0.48751680,0.00050000,256,2751,200,dgru,23,0.07540685,0.05110564,-10.779053,-12.60073687,-15.09172971,-15.41347426,-15.25260199,0.05666467,-10.786052,-12.53716321,-15.79840075,-15.83309662,-15.81574868
2,100,0.69993189,0.00050000,256,2751,200,dgru,23,0.03576681,0.02208638,-14.418172,-16.76390189,-19.27367245,-18.62458536,-18.94912890,0.02415300,-14.486089,-16.74825931,-20.33787115,-18.98358229,-19.66072672
3,100,0.91030953,0.00050000,256,2751,200,dgru,23,0.01550277,0.00932760,-18.160303,-20.65736766,-23.88923985,-22.58368017,-23.23646001,0.01023953,-18.215702,-20.65062114,-25.31610097,-22.64036285,-23.97823191
4,100,1.12305259,0.00050000,256,2751,200,dgru,23,0.00730444,0.00462038,-21.21225,-23.56946946,-27.24164241,-26.31784850,-26.77974546,0.00510395,-21.244839,-23.55070977,-28.43714744,-25.61048101,-27.02381422
5,100,1.32552096,0.00050000,256,2751,200,dgru,23,0.00411316,0.00282659,-23.348856,-25.50856785,-29.15149933,-28.67933108,-28.91541521,0.00313246,-23.373426,-25.53778561,-30.14838659,-27.61392164,-28.88115412
6,100,1.54101443,0.00050000,256,2751,200,dgru,23,0.00283506,0.00207398,-24.693747,-26.79167113,-30.37729527,-29.70017454,-30.03873490,0.00230734,-24.705835,-26.88124586,-31.04290499,-28.64241178,-29.84265839
7,100,1.75391223,0.00050000,256,2751,200,dgru,23,0.00226125,0.00172462,-25.495178,-27.54976092,-31.16538364,-30.24440793,-30.70489579,0.00192936,-25.484964,-27.71220458,-31.49773396,-29.26974093,-30.38373745
8,100,1.97176476,0.00050000,256,2751,200,dgru,23,0.00197236,0.00153450,-26.001913,-28.06124760,-31.58298920,-30.46006572,-31.02152746,0.00172668,-25.967196,-28.25124449,-31.67285117,-29.54954799,-30.61119958
9,100,2.17667100,0.00050000,256,2751,200,dgru,23,0.00180374,0.00141972,-26.339884,-28.39775140,-31.82895439,-30.59745636,-31.21320537,0.00160523,-26.282553,-28.58136358,-31.75813428,-29.74848363,-30.75330896
10,100,2.38848561,0.00050000,256,2751,200,dgru,23,0.00169085,0.00133677,-26.60116,-28.65509838,-31.96253616,-30.66628244,-31.31440930,0.00151217,-26.54188,-28.85213005,-31.76596191,-29.86558847,-30.81577519
11,100,2.59838132,0.00050000,256,2751,200,dgru,23,0.00160581,0.00127778,-26.797411,-28.84288767,-32.05749694,-30.74656595,-31.40203145,0.00144634,-26.734217,-29.03066597,-31.76195336,-29.98768115,-30.87481726
12,100,2.80652728,0.00050000,256,2751,200,dgru,23,0.00153790,0.00122242,-26.989737,-29.03659938,-32.14904012,-30.80309007,-31.47606509,0.00138922,-26.908834,-29.20504923,-31.76851311,-30.07220556,-30.92035934
13,100,3.02826300,0.00050000,256,2751,200,dgru,23,0.00148027,0.00117973,-27.14469,-29.17996143,-32.24526268,-30.89668728,-31.57097498,0.00134513,-27.048492,-29.33086573,-31.76867022,-30.17836876,-30.97351949
14,100,3.23505740,0.00050000,256,2751,200,dgru,23,0.00143112,0.00114005,-27.293234,-29.32596739,-32.28112143,-30.96090570,-31.62101356,0.00130215,-27.188805,-29.46435161,-31.76046009,-30.26069994,-31.01058002
15,100,3.44581089,0.00050000,256,2751,200,dgru,23,0.00138859,0.00110782,-27.417734,-29.44518523,-32.34792422,-31.00684433,-31.67738427,0.00126952,-27.298796,-29.55979366,-31.76166288,-30.31754098,-31.03960193
16,100,3.65709222,0.00050000,256,2751,200,dgru,23,0.00134982,0.00107913,-27.531929,-29.54305292,-32.36354374,-31.04763106,-31.70558740,0.00123686,-27.411707,-29.65806477,-31.74392763,-30.37257523,-31.05825143
17,100,3.98348920,0.00050000,256,2751,200,dgru,23,0.00131412,0.00105402,-27.63447,-29.63963548,-32.38183066,-31.06952783,-31.72567925,0.00121064,-27.50501,-29.73907873,-31.74346131,-30.41840574,-31.08093353
18,100,4.34188940,0.00050000,256,2751,200,dgru,23,0.00128142,0.00103018,-27.733864,-29.72599049,-32.39627224,-31.09580920,-31.74604072,0.00118491,-27.597656,-29.81526497,-31.73297243,-30.45995454,-31.09646348
19,100,4.59882701,0.00050000,256,2751,200,dgru,23,0.00125185,0.00101031,-27.819275,-29.80648695,-32.52119883,-31.18077112,-31.85098497,0.00116517,-27.670248,-29.87415400,-31.81386319,-30.53829619,-31.17607969
20,100,4.83118534,0.00050000,256,2751,200,dgru,23,0.00122434,0.00099036,-27.905884,-29.88181640,-32.51585527,-31.20060746,-31.85823137,0.00114146,-27.759048,-29.95092892,-31.79862314,-30.56501352,-31.18181833
21,100,5.04715441,0.00050000,256,2751,200,dgru,23,0.00119832,0.00097367,-27.97967,-29.94365612,-32.55875402,-31.25970785,-31.90923094,0.00112157,-27.834307,-30.00892713,-31.84002165,-30.63218530,-31.23610347
